source,target
0,70
0,91
0,151
0,183
0,225
0,236
0,261
0,298
0,311
0,316
0,340
0,371
1,26
1,45
1,76
1,83
1,86
1,159
1,286
1,293
1,311
1,318
1,341
1,347
1,366
2,35
2,76
2,143
2,188
2,189
2,209
2,220
2,349
3,5
3,12
3,47
3,59
3,117
3,138
3,157
3,165
3,188
3,196
3,204
3,233
3,240
4,6
4,25
4,34
4,35
4,43
4,58
4,89
4,113
4,114
4,121
4,122
4,134
4,141
4,155
4,194
4,223
4,231
4,234
4,248
4,250
4,291
4,293
4,295
4,297
4,326
4,329
4,331
4,335
4,349
4,373
4,374
4,376
5,13
5,19
5,20
5,23
5,59
5,71
5,82
5,86
5,91
5,105
5,109
5,131
5,132
5,155
5,177
5,206
5,208
5,210
5,213
5,214
5,215
5,223
5,250
5,253
5,255
5,264
5,274
5,316
5,317
5,320
5,323
5,334
5,350
5,365
5,368
6,74
6,100
6,106
6,133
6,323
6,354
6,377
7,46
7,48
7,49
7,52
7,84
7,85
7,90
7,107
7,113
7,114
7,121
7,135
7,150
7,164
7,177
7,188
7,190
7,193
7,232
7,236
7,237
7,240
7,247
7,258
7,261
7,270
7,277
7,285
7,287
7,313
7,331
7,335
7,341
7,349
7,351
7,363
8,34
8,58
8,103
8,113
8,125
8,151
8,157
8,188
8,258
8,284
8,348
9,19
9,46
9,98
9,127
9,157
9,215
9,244
9,281
9,290
9,353
10,34
10,49
10,67
10,107
10,163
10,186
10,291
10,347
10,376
11,28
11,39
11,112
11,128
11,141
11,155
11,195
11,224
11,236
11,250
11,286
11,325
12,15
12,17
12,24
12,41
12,46
12,55
12,63
12,70
12,85
12,96
12,107
12,135
12,150
12,154
12,162
12,163
12,198
12,201
12,215
12,221
12,235
12,250
12,257
12,268
12,279
12,283
12,291
12,314
12,325
12,334
12,356
12,372
12,375
13,14
13,24
13,26
13,34
13,62
13,69
13,82
13,83
13,86
13,91
13,101
13,125
13,127
13,151
13,158
13,192
13,195
13,197
13,202
13,210
13,215
13,220
13,238
13,279
13,287
13,290
13,291
13,299
13,303
13,307
13,317
13,325
13,343
13,346
13,352
13,354
13,365
13,369
14,41
14,42
14,49
14,83
14,89
14,128
14,196
14,275
14,288
15,58
15,77
