source,target
0,13
0,35
0,58
0,87
0,127
0,163
0,183
0,197
0,206
0,285
0,374
1,12
1,174
1,177
1,223
1,325
1,368
1,371
2,5
2,13
2,42
2,77
2,109
2,157
2,161
2,273
2,310
2,363
2,369
3,4
3,33
3,34
3,47
3,83
3,157
3,193
3,194
3,209
3,218
3,242
3,252
3,255
3,266
3,298
3,322
3,348
3,371
4,13
4,32
4,51
4,86
4,87
4,93
4,116
4,157
4,176
4,186
4,212
4,216
4,226
4,235
4,250
4,258
4,268
4,293
4,297
4,308
4,318
4,334
4,353
4,367
4,376
5,6
5,7
5,18
5,30
5,33
5,46
5,50
5,72
5,92
5,95
5,110
5,129
5,131
5,139
5,140
5,145
5,148
5,162
5,164
5,197
5,198
5,221
5,234
5,256
5,261
5,292
5,306
5,338
5,354
6,33
6,62
6,74
6,76
6,193
6,377
7,17
7,25
7,61
7,92
7,122
7,128
7,134
7,154
7,156
7,166
7,173
7,179
7,191
7,194
7,198
7,209
7,217
7,222
7,225
7,249
7,273
7,302
7,305
7,323
7,375
8,70
8,98
8,130
8,133
8,177
8,189
8,274
8,362
9,46
9,138
9,236
9,279
9,290
9,347
9,366
10,38
10,56
10,89
10,151
10,155
10,156
10,163
10,214
10,255
10,288
10,341
10,343
10,360
10,365
11,85
11,174
11,183
11,248
11,256
11,257
11,276
11,324
12,13
12,18
12,22
12,33
12,61
12,84
12,93
12,94
12,99
12,103
12,104
12,116
12,117
12,124
12,137
12,148
12,154
12,168
12,172
12,173
12,178
12,191
12,194
12,229
12,232
12,246
12,262
12,269
12,278
12,299
12,315
12,321
12,323
12,333
12,366
12,372
13,54
13,62
13,67
13,75
13,98
13,105
13,111
13,154
13,165
13,166
13,171
13,179
13,195
13,197
13,223
13,249
13,251
13,259
13,274
13,298
13,301
13,321
13,325
13,344
13,349
13,358
13,364
13,375
13,377
14,33
14,46
14,59
14,123
14,194
14,291
14,326
14,371
15,17
15,35
15,47
15,58
15,59
15,74
15,109
15,135
15,157
15,187
15,229
15,234
15,238
15,239
15,241
15,322
15,340
15,348
15,352
15,373
16,29
16,51
16,85
16,104
16,189
16,215
16,218
16,224
16,241
16,252
16,273
16,287
16,311
16,324
16,341
16,362
17,25
17,30
17,38
17,103
17,112
17,119
17,133
17,171
17,177
17,183
17,212
17,231
17,234
17,241
17,270
17,275
17,315
17,328
17,338
17,352
17,359
17,365
18,54
18,72
18,85
18,91
18,104
18,123
18,137
18,156
18,157
18,285
18,287
18,344
18,360
18,374
19,20
19,41
19,42
19,51
19,63
19,76
19,78
19,86
19,90
19,91
19,102
19,145
19,155
19,192
19,202
19,209
19,219
19,224
19,241
19,270
19,275
19,277
19,295
19,297
19,302
19,304
19,316
19,355
19,358
20,26
20,29
20,40
20,54
20,64
20,67
20,74
20,75
20,108
20,112
20,120
20,132
20,152
20,155
20,156
20,171
20,187
20,198
20,200
20,218
20,228
20,265
20,284
20,305
20,315
20,337
20,352
21,28
21,33
21,45
21,90
21,144
21,163
21,193
21,234
21,310
21,348
21,357
22,28
22,58
22,103
22,109
22,129
22,163
22,188
22,255
22,266
22,299
22,330
22,360
22,362
23,28
23,52
23,85
23,87
23,89
23,98
23,102
23,104
23,146
23,149
23,168
23,174
23,176
23,188
23,189
23,193
23,200
23,217
23,222
23,271
23,280
23,287
23,289
23,295
23,316
23,329
23,330
23,335
23,338
24,30
24,33
24,49
24,50
24,54
24,55
24,64
24,96
24,100
24,116
24,128
24,169
24,189
24,197
24,207
24,228
