source,target
0,17
0,34
0,35
0,46
0,50
0,70
0,106
0,127
0,130
0,148
0,188
0,234
0,251
0,291
0,319
0,347
0,353
1,5
1,41
1,74
1,91
1,123
1,141
1,151
1,153
1,167
1,188
1,246
1,369
2,7
2,9
2,35
2,45
2,80
2,86
2,138
2,164
2,167
2,193
2,224
2,226
2,241
2,324
3,14
3,19
3,98
3,109
3,158
3,161
3,168
3,211
3,287
3,293
3,297
3,340
3,347
4,14
4,23
4,40
4,65
4,72
4,88
4,100
4,104
4,105
4,114
4,117
4,118
4,172
4,192
4,213
4,227
4,240
4,244
4,277
4,309
4,314
4,328
4,357
5,9
5,10
5,20
5,21
5,28
5,78
5,86
5,99
5,131
5,141
5,176
5,184
5,195
5,209
5,210
5,225
5,235
5,249
5,268
5,269
5,282
5,289
5,292
5,302
5,315
5,354
6,43
6,45
6,106
6,129
6,215
6,240
6,275
6,359
6,362
7,14
7,23
7,57
7,61
7,65
7,73
7,81
7,95
7,105
7,138
7,140
7,160
7,183
7,190
7,201
7,219
7,231
7,240
7,263
7,267
7,289
7,309
8,12
8,38
8,45
8,86
8,106
8,123
8,135
8,155
8,156
8,229
8,275
8,290
8,304
8,316
8,320
9,47
9,87
9,127
9,144
9,199
9,204
9,211
9,271
9,316
9,373
9,377
10,42
10,59
10,89
10,172
10,215
10,216
10,266
10,268
10,347
10,373
11,29
11,32
11,38
11,45
11,83
11,124
11,127
11,151
11,189
11,197
11,229
11,234
11,242
11,279
11,324
11,377
12,15
12,28
12,40
12,86
12,104
12,137
12,138
12,141
12,216
12,227
12,240
12,245
12,256
12,267
12,289
12,296
12,297
12,309
12,318
12,328
12,358
12,360
13,20
13,21
13,23
13,32
13,54
13,82
13,84
13,101
13,116
13,122
13,132
13,138
13,140
13,141
13,148
13,160
13,179
13,209
13,210
13,243
13,277
13,294
13,318
13,376
14,26
14,33
14,59
14,70
14,177
14,215
14,232
14,242
14,377
15,41
15,59
15,143
15,151
15,161
15,174
15,253
15,274
15,322
15,339
15,340
15,369
16,36
16,42
16,56
16,74
16,217
16,238
16,250
16,300
16,347
16,362
16,366
17,40
17,54
17,61
17,68
17,75
17,78
17,79
17,84
17,92
17,104
17,111
17,131
17,160
17,196
17,205
17,217
17,245
17,259
17,261
17,263
17,276
17,291
17,297
17,298
17,301
17,303
17,305
17,309
17,327
17,334
