source,target
0,65
0,87
0,106
0,109
0,213
0,241
0,273
0,287
0,324
0,335
0,347
1,34
1,43
1,70
1,71
1,106
1,120
1,158
1,161
1,174
1,189
1,216
1,250
2,87
2,136
2,155
2,193
2,274
2,320
2,328
2,335
2,348
2,351
2,365
3,26
3,43
3,46
3,50
3,54
3,70
3,138
3,147
3,187
3,197
3,202
3,207
3,229
3,263
3,288
3,298
3,352
4,14
4,19
4,21
4,28
4,35
4,43
4,59
4,64
4,65
4,83
4,89
4,112
4,121
4,125
4,137
4,141
4,151
4,158
4,176
4,180
4,185
4,189
4,193
4,197
4,211
4,250
4,260
4,262
4,264
4,266
4,281
4,282
4,283
4,286
4,289
4,298
4,324
4,345
4,348
4,354
4,360
4,361
4,363
4,374
5,13
5,20
5,31
5,32
5,36
5,95
5,101
5,104
5,109
5,119
5,131
5,132
5,137
5,148
5,168
5,171
5,182
5,185
5,195
5,201
5,207
5,225
5,238
5,241
5,262
5,264
5,274
5,287
5,294
5,297
5,318
5,323
5,328
5,331
5,362
6,137
6,143
6,158
6,197
6,234
6,290
6,330
7,18
7,27
7,30
7,42
7,48
7,77
7,112
7,145
7,151
7,156
7,169
7,186
7,190
7,194
7,195
7,220
7,224
7,232
7,233
7,236
7,238
7,242
7,245
7,250
7,263
7,266
7,272
7,273
7,286
7,299
7,302
7,308
7,310
7,323
7,324
7,331
7,347
7,355
7,357
7,361
7,371
7,374
7,375
8,42
8,120
8,188
8,204
8,221
8,232
8,273
8,321
8,322
8,335
8,369
9,52
9,58
9,93
9,103
9,177
9,199
9,266
9,287
9,318
9,332
9,374
10,77
10,123
10,158
10,177
10,204
10,211
10,223
10,231
10,240
10,290
10,334
10,340
11,39
11,67
11,85
11,149
11,166
11,235
11,273
11,274
11,286
11,341
12,23
12,25
12,26
12,34
12,38
12,39
12,84
12,88
12,89
12,109
12,122
12,141
12,150
12,156
12,162
12,164
12,192
12,199
12,201
12,204
12,211
12,228
12,232
12,235
12,257
12,264
12,267
12,271
12,285
12,290
12,301
12,314
12,316
12,317
12,320
12,327
12,328
12,340
12,357
12,376
13,19
13,23
13,26
13,30
13,41
13,50
13,57
13,59
13,66
13,71
13,104
13,115
13,152
13,169
13,183
13,184
13,185
13,190
13,198
13,202
13,209
13,211
13,212
13,221
13,240
13,241
13,248
13,256
13,258
13,266
13,270
13,272
13,285
13,286
13,289
13,303
13,315
13,318
13,320
13,328
13,333
13,339
13,362
13,369
13,375
14,43
14,55
14,87
14,91
14,104
14,146
14,157
14,189
14,193
14,197
14,211
14,214
14,275
14,289
14,324
14,335
14,340
14,352
14,359
14,373
14,374
15,33
15,36
15,85
15,99
15,127
15,155
15,174
15,187
15,198
15,211
15,232
15,234
15,261
15,266
15,273
15,317
15,318
15,347
16,43
16,85
16,91
16,98
16,136
16,174
16,208
16,209
16,220
16,223
16,236
16,250
16,286
16,344
17,28
17,29
17,49
17,59
17,62
17,86
17,97
17,101
17,104
17,105
17,107
17,109
17,124
17,128
17,141
17,155
17,161
17,166
17,177
17,179
17,197
17,200
17,220
17,236
17,240
17,241
17,242
17,248
17,256
17,272
17,284
17,294
17,295
17,308
17,319
17,320
17,325
17,327
17,328
17,330
17,332
17,333
17,341
17,344
18,35
18,41
18,109
18,166
18,168
18,209
18,236
18,238
18,287
18,296
19,20
19,22
19,26
19,48
19,50
19,64
19,72
19,73
19,75
19,80
19,89
19,92
19,104
19,106
19,108
19,144
19,146
19,157
19,164
19,195
19,197
19,202
19,211
19,242
19,250
19,253
19,255
19,281
19,293
19,312
19,314
19,335
19,337
19,375
19,376
20,22
20,24
20,35
20,49
20,50
20,54
20,58
20,67
20,69
20,83
20,91
20,104
20,123
20,125
20,129
20,132
20,152
20,155
20,161
20,166
20,174
20,188
20,202
20,204
20,211
20,218
20,233
20,240
20,263
20,266
20,279
20,285
20,311
20,312
20,325
20,328
20,330
20,337
20,340
20,352
20,366
20,377
21,31
21,41
21,46
21,56
21,58
21,67
21,156
21,180
21,203
21,214
21,227
21,243
21,287
22,41
22,89
22,135
22,167
22,178
22,197
22,234
22,236
22,288
22,347
23,34
23,36
23,39
23,42
23,46
23,49
23,50
23,56
23,59
23,74
23,77
23,104
23,117
23,120
23,125
23,127
23,134
23,135
23,136
23,144
23,155
23,157
23,158
23,168
23,202
23,209
23,221
23,224
23,226
23,232
23,234
23,243
23,250
23,252
23,256
23,267
23,273
23,275
23,282
23,288
23,293
23,314
23,316
23,317
23,318
23,328
23,340
23,347
23,352
23,364
23,365
23,367
23,373
24,36
24,43
24,47
24,49
24,58
24,84
24,91
24,93
24,96
24,102
24,104
24,125
24,136
24,141
24,150
24,152
24,155
24,167
24,170
24,176
24,229
24,232
24,263
24,267
24,272
24,280
24,293
24,316
24,337
24,348
24,357
25,50
25,72
25,127
25,133
25,135
25,138
25,198
25,204
25,211
25,221
25,245
25,347
25,352
25,365
25,370
26,28
26,32
26,39
26,41
26,42
26,48
26,65
26,66
26,68
26,79
26,81
26,83
26,86
26,90
26,112
26,116
26,121
26,125
26,129
26,135
26,147
26,156
26,161
26,166
26,178
26,181
26,203
26,228
26,234
26,240
26,244
26,263
26,280
26,287
26,299
26,301
26,302
26,307
26,323
26,350
26,351
26,367
26,369
26,373
26,377
27,32
27,79
27,130
27,168
27,242
27,252
27,258
28,29
28,35
28,37
28,45
28,69
28,74
28,76
28,85
28,138
28,139
28,151
28,157
28,163
28,165
28,173
28,174
28,188
28,205
28,211
28,220
28,227
28,241
28,255
28,282
28,294
28,309
28,317
28,319
28,332
28,342
28,347
28,352
28,356
28,366
29,42
29,54
29,57
29,66
29,77
29,78
29,89
29,106
29,160
29,162
29,165
29,167
29,201
29,220
29,243
29,281
29,293
29,302
29,303
29,307
29,314
29,316
29,322
29,324
29,330
29,335
29,338
29,344
29,347
29,372
30,43
30,61
30,91
30,135
30,151
30,188
30,209
30,242
30,252
30,300
30,308
30,311
30,377
31,35
31,43
31,77
31,89
31,117
31,148
31,156
31,164
31,210
31,240
31,242
31,290
31,347
32,37
32,110
32,177
32,193
32,215
32,238
32,281
32,362
33,35
33,51
33,56
33,58
33,59
33,70
33,71
33,82
33,85
33,90
33,96
33,103
33,119
33,130
33,141
33,142
33,145
33,152
33,155
33,184
33,188
33,189
33,201
33,204
33,209
33,224
33,226
33,229
33,236
33,252
33,262
33,282
33,307
33,334
33,350
33,368
34,63
34,88
34,89
34,114
34,123
34,130
34,141
34,163
34,168
34,170
34,178
34,185
34,193
34,208
34,210
34,249
34,250
34,252
34,260
34,291
34,297
34,315
34,330
34,338
34,340
34,354
34,356
34,364
34,368
34,376
35,41
35,73
35,75
35,111
35,131
35,142
35,161
35,169
35,181
35,194
35,205
35,219
35,231
35,233
35,242
35,245
35,246
35,256
35,270
35,291
35,292
35,298
35,299
35,315
35,316
35,319
35,321
35,328
35,329
35,332
35,345
35,348
35,350
36,45
36,49
36,56
36,57
36,58
36,61
36,73
36,74
36,86
36,103
36,135
36,141
36,157
36,163
36,177
36,209
36,213
36,224
36,229
36,232
36,235
36,246
36,247
36,260
36,262
36,286
36,307
36,352
36,357
36,362
36,363
36,369
37,50
37,83
37,85
37,125
37,150
37,151
37,168
37,223
37,230
37,291
37,322
37,365
37,376
38,39
38,54
38,79
38,114
38,177
38,178
38,188
38,190
38,201
38,204
38,252
38,255
38,273
38,274
38,288
38,309
38,316
38,318
38,325
38,326
38,330
38,332
38,339
38,348
38,354
38,360
38,361
38,369
39,46
39,54
39,58
39,65
39,66
39,69
39,80
39,81
39,86
39,87
39,98
39,118
39,131
39,133
39,150
39,154
39,159
39,163
39,216
39,217
39,227
39,239
39,249
39,251
39,252
39,270
39,273
39,292
39,306
39,319
39,330
39,349
39,352
39,355
39,361
39,365
40,81
40,83
40,89
40,112
40,136
40,215
40,217
40,277
40,293
40,319
40,324
40,352
40,369
41,58
41,66
41,67
41,70
41,91
41,103
41,126
41,133
41,139
41,144
41,162
41,167
41,170
41,176
41,182
41,183
41,188
41,204
41,233
41,251
41,256
41,260
41,318
41,320
41,324
41,336
41,347
41,348
41,369
41,371
41,372
42,51
42,54
42,56
42,62
42,70
42,76
42,86
42,94
42,103
42,132
42,138
42,152
42,156
42,158
42,161
42,164
42,165
42,173
42,174
42,184
42,189
42,192
42,199
42,209
42,229
42,246
42,252
42,263
42,273
42,282
42,287
42,291
42,295
42,298
42,309
42,311
42,314
42,325
42,329
42,330
42,333
42,337
42,339
42,352
42,356
42,361
42,362
42,375
42,376
43,45
43,47
43,53
43,67
43,69
43,77
43,81
43,83
43,86
43,95
43,104
43,124
43,131
43,136
43,140
43,144
43,148
43,151
43,187
43,190
43,206
43,215
43,223
43,229
43,266
43,271
43,280
43,283
43,287
43,302
43,305
43,329
43,349
43,361
43,362
43,377
44,85
44,107
44,135
44,138
44,177
44,195
44,215
44,231
44,271
44,291
44,293
45,53
45,56
45,62
45,67
45,70
45,72
45,75
45,76
45,86
45,105
45,107
45,108
45,109
45,110
45,113
45,130
45,135
45,138
45,149
45,152
45,154
45,155
45,174
45,197
45,207
45,209
45,221
45,226
45,228
45,229
45,234
45,236
45,240
45,249
45,255
45,275
45,280
45,287
45,288
45,290
45,295
45,319
45,328
45,343
45,349
45,354
45,357
45,358
45,359
45,375
46,48
46,49
46,53
46,70
46,85
46,87
46,104
46,106
46,115
46,117
46,121
46,165
46,173
46,189
46,204
46,209
46,236
46,260
46,272
46,274
46,302
46,308
46,328
46,333
46,376
46,377
47,50
47,54
47,55
47,104
47,134
47,147
47,150
47,157
47,165
47,177
47,195
47,197
47,207
47,222
47,224
47,249
47,252
47,258
47,260
47,274
47,287
47,291
47,301
47,324
47,348
47,353
47,358
47,365
47,371
48,76
48,91
48,168
48,197
48,238
48,285
48,287
48,293
48,305
48,335
48,337
49,54
49,56
49,85
49,102
49,138
49,141
49,155
49,157
49,158
49,163
49,174
49,176
49,190
49,194
49,209
49,212
49,223
49,229
49,230
49,240
49,242
49,250
49,269
49,271
49,272
49,274
49,289
49,316
49,318
49,320
49,330
49,340
49,341
49,348
49,350
49,354
49,371
49,372
50,53
50,80
50,82
50,89
50,103
50,120
50,123
50,127
50,134
50,136
50,138
50,141
50,144
50,159
50,169
50,187
50,204
50,207
50,212
50,222
50,236
50,240
50,251
50,256
50,265
50,294
50,322
50,336
50,340
50,344
50,359
50,364
51,89
51,123
51,156
51,177
51,268
51,288
51,316
51,347
51,362
51,365
52,59
52,77
52,120
52,160
52,211
52,226
52,232
52,242
52,290
52,325
52,341
52,362
53,104
53,120
53,188
53,234
53,241
53,244
53,252
54,56
54,77
54,88
54,90
54,102
54,111
54,143
54,155
54,161
54,165
54,168
54,177
54,187
54,188
54,233
54,242
54,258
54,261
54,263
54,266
54,274
54,286
54,287
54,289
54,291
54,298
54,317
54,322
54,323
54,335
54,341
54,348
54,351
54,362
54,365
54,367
54,373
55,59
55,87
55,114
55,120
55,176
55,183
55,234
55,238
55,241
55,263
55,279
55,286
55,290
55,291
55,325
55,347
55,352
55,365
56,77
56,89
56,91
56,102
56,104
56,109
56,129
56,150
56,177
56,199
56,208
56,209
56,222
56,259
56,287
56,297
56,312
56,318
56,320
56,325
56,328
56,331
56,345
56,371
57,76
57,86
57,98
57,163
57,167
57,192
57,221
57,272
57,366
57,369
58,61
58,62
58,87
58,105
58,108
58,109
58,117
58,125
58,129
58,135
58,141
58,147
58,157
58,161
58,187
58,193
58,199
58,209
58,218
58,220
58,221
58,223
58,300
58,319
58,326
58,335
58,348
58,366
59,67
59,73
59,123
59,126
59,135
59,139
59,141
59,154
59,161
59,198
59,209
59,250
59,257
59,274
59,280
59,291
59,317
59,320
59,325
59,333
59,335
59,362
59,371
60,74
60,123
60,139
60,153
60,158
60,187
60,194
60,202
60,209
60,236
60,269
60,279
60,286
60,370
61,68
61,76
61,83
61,91
61,187
61,193
61,214
61,234
61,242
61,291
61,292
61,323
61,330
61,340
61,345
61,347
62,123
62,125
62,161
62,174
62,187
62,229
63,74
63,107
63,157
63,164
63,236
63,264
63,291
63,316
63,330
63,341
63,352
64,65
64,109
64,123
64,136
64,162
64,204
64,214
64,238
64,271
64,292
64,330
64,340
65,77
65,87
65,94
65,104
65,111
65,118
65,134
65,143
65,151
65,158
65,159
65,162
65,163
65,177
65,188
65,201
65,209
65,215
65,216
65,228
65,229
65,238
65,252
65,258
65,273
65,274
65,278
65,287
65,289
65,293
65,299
65,306
65,312
65,320
65,325
65,327
65,334
65,343
65,347
65,348
65,352
65,366
65,373
65,374
66,144
66,184
66,204
66,217
66,221
66,271
66,287
66,292
66,294
66,301
67,74
67,94
67,121
67,147
67,150
67,159
67,165
67,182
67,197
67,211
67,221
67,224
67,226
67,242
67,245
67,275
67,292
67,317
67,323
67,325
67,347
67,360
67,373
68,98
68,125
68,176
68,240
68,287
68,328
68,347
69,106
69,123
69,167
69,220
69,241
69,262
69,293
69,311
69,365
70,81
70,88
70,90
70,93
70,121
70,130
70,138
70,143
70,160
70,167
70,184
70,189
70,227
70,240
70,243
70,247
70,248
70,278
70,284
70,287
70,301
70,312
70,318
70,323
70,333
70,336
70,347
70,359
70,367
70,374
71,84
71,186
71,204
71,234
71,258
71,266
71,287
71,316
71,322
71,366
71,374
72,130
72,136
72,255
72,311
72,350
73,104
73,157
73,271
73,291
73,375
74,89
74,91
74,98
74,101
74,104
74,126
74,138
74,157
74,158
74,165
74,174
74,177
74,180
74,197
74,199
74,209
74,221
74,234
74,238
74,245
74,248
74,251
74,270
74,271
74,279
74,289
74,295
74,301
74,347
74,349
74,372
74,374
74,375
75,107
75,120
75,191
75,226
75,234
75,236
75,240
75,273
75,365
76,77
76,86
76,88
76,123
76,129
76,132
76,143
76,154
76,157
76,162
76,163
76,167
76,190
76,203
76,210
76,231
76,240
76,262
76,265
76,287
76,304
76,311
76,317
76,318
76,328
76,340
76,344
76,362
76,369
76,373
77,91
77,98
77,104
77,107
77,109
77,112
77,130
77,135
77,139
77,157
77,161
77,165
77,167
77,187
77,189
77,191
77,207
77,217
77,251
77,259
77,266
77,270
77,283
77,292
77,303
77,318
77,323
77,341
77,345
77,347
77,350
77,373
77,374
78,134
78,158
78,171
78,204
78,215
78,220
78,241
78,245
78,286
78,293
78,299
78,311
79,97
79,211
79,220
79,287
79,328
79,365
80,86
80,88
80,125
80,127
80,155
