semester,layer,num_edges,density
0,coauthorship,3058,0.04291749119335326
0,supervision,3116,0.04373149200735408
0,project,3881,0.05446788205408895
0,course,3860,0.05417315762143348
1,coauthorship,3240,0.045471769609700646
1,supervision,3170,0.04448935483418242
1,project,3830,0.05375212271763996
1,course,3834,0.05380826070481243
2,coauthorship,3163,0.044391113356630596
2,supervision,3150,0.04420866489832007
2,project,3984,0.055913435223780054
2,course,3829,0.053738088220846844
3,coauthorship,3261,0.04576649404235611
3,supervision,3299,0.046299804920494576
3,project,4079,0.05724671241912621
3,course,3951,0.05545029682960718
4,coauthorship,3278,0.046005080487839106
4,supervision,3287,0.04613139095897716
4,project,4053,0.05688181550250516
4,course,4194,0.05886067955033472
5,coauthorship,3407,0.04781553057415126
5,supervision,3399,0.04770325459980632
5,project,4146,0.05818702370426508
5,course,4210,0.0590852314990246
6,coauthorship,3529,0.0495277391829116
6,supervision,3419,0.04798394453566868
6,project,4269,0.05991326680981853
6,course,4291,0.06022202573926712
7,coauthorship,3442,0.04830673796191037
7,supervision,3529,0.0495277391829116
7,project,4354,0.06110619903723352
7,course,4387,0.0615693374314064
8,coauthorship,3506,0.04920494575666989
8,supervision,3497,0.04907863528553184
8,project,4509,0.06328154604016673
8,course,4360,0.06119040601799222
9,coauthorship,3635,0.05101539584298205
9,supervision,3667,0.05146449974036181
9,project,4405,0.06182195837368251
9,course,4543,0.06375871893113272
10,coauthorship,3708,0.05203991410887963
10,supervision,3620,0.05080487839108529
10,project,4672,0.06556916901744488
10,course,4680,0.06568144499178982
11,coauthorship,3802,0.05335915680743267
11,supervision,3713,0.05211008659284521
11,project,4480,0.06287454563316633
11,course,4600,0.06455868524834042
