node_id,role,domain,seniority
0,2,1,10
1,2,1,3
2,2,0,0
3,2,0,10
4,1,0,6
5,1,3,7
6,2,4,2
7,1,0,5
8,2,4,1
9,2,2,6
10,2,4,7
11,2,1,5
12,1,1,5
13,1,4,4
14,2,3,7
15,2,0,0
16,2,0,9
17,1,0,3
18,2,2,3
19,1,0,2
20,0,0,2
21,2,4,3
22,2,2,10
23,0,1,0
24,1,0,10
25,2,3,10
26,1,4,1
27,2,3,8
28,0,2,9
29,1,4,1
30,2,0,4
31,2,3,8
32,2,4,8
33,1,4,7
34,1,3,0
35,1,4,0
36,1,0,8
37,2,2,10
38,1,0,7
39,1,1,9
40,2,2,8
41,1,3,6
42,1,0,2
43,1,0,2
44,2,2,1
45,1,1,4
46,1,2,11
47,1,3,11
48,2,2,2
49,1,1,5
50,1,4,1
51,2,1,11
52,2,1,2
53,2,2,4
54,0,3,11
55,2,3,10
56,1,3,10
57,2,3,0
58,1,2,0
59,1,3,9
60,2,1,8
61,2,4,6
62,2,2,0
63,2,2,11
64,2,1,7
65,0,4,2
66,2,0,7
67,1,2,4
68,2,0,0
69,2,3,6
70,1,0,4
71,2,3,5
72,2,4,5
73,2,4,7
74,1,3,8
75,2,0,1
76,1,4,8
77,1,1,11
78,2,0,10
79,2,3,9
80,2,1,8
81,2,4,9
82,2,3,9
83,1,1,6
84,2,4,0
85,1,2,6
86,0,0,9
87,1,0,4
88,2,0,5
89,0,1,9
90,2,0,6
91,1,3,4
92,2,1,6
93,2,4,8
94,2,2,2
95,2,2,7
96,2,2,1
97,2,3,10
98,1,2,6
99,2,1,1
100,2,0,3
101,2,0,6
102,2,4,2
103,2,4,1
104,0,2,10
105,2,0,9
106,1,0,6
107,1,3,0
108,2,2,7
109,1,1,2
110,2,0,11
111,2,2,11
112,2,0,1
113,2,1,2
114,2,3,4
115,2,2,10
116,2,3,7
117,2,2,9
118,2,4,6
119,2,2,6
120,1,1,11
121,2,2,6
122,2,2,7
123,1,4,0
124,2,2,3
125,1,0,5
126,2,2,8
127,1,4,1
128,2,0,0
129,2,1,9
130,1,0,11
131,2,1,1
132,2,1,6
133,2,0,2
134,2,0,9
135,1,4,1
136,1,2,10
137,2,4,6
138,0,3,1
139,2,1,2
140,2,0,10
141,0,4,6
142,2,3,3
143,1,2,0
144,1,0,4
145,2,1,11
146,2,2,8
147,2,1,7
148,2,2,11
149,2,1,8
150,2,3,9
151,1,1,8
152,2,4,6
153,2,4,3
154,2,1,4
155,1,3,0
156,1,1,0
157,1,4,2
158,1,1,7
159,2,0,1
160,2,4,3
161,1,4,1
162,2,4,4
163,1,1,8
164,1,1,0
165,1,3,4
166,2,1,8
167,1,1,0
168,1,0,8
169,2,0,7
170,2,0,3
171,2,0,11
172,2,2,10
173,2,2,9
174,1,2,4
175,2,2,4
176,2,4,10
177,1,4,11
178,2,0,5
179,2,3,6
180,2,3,7
181,2,3,7
182,2,3,10
183,2,4,1
184,2,4,8
185,2,0,6
186,2,4,3
187,1,3,3
188,1,0,10
189,0,0,7
190,2,4,3
191,2,3,5
192,2,3,4
193,1,2,2
194,2,1,9
195,2,3,10
196,2,3,1
197,1,0,8
198,2,4,9
199,2,4,8
200,2,1,0
201,2,1,9
202,2,1,2
203,2,2,7
204,1,3,5
205,2,3,4
206,2,4,4
207,2,1,5
208,2,2,6
209,0,1,0
210,2,4,8
211,1,0,2
212,2,1,3
213,2,2,9
214,1,0,0
215,1,0,10
216,2,0,9
217,2,0,2
218,2,3,1
219,2,2,1
220,1,0,0
221,1,0,7
222,2,0,2
223,1,0,2
224,1,1,5
225,2,2,7
226,1,2,8
227,2,1,8
228,2,0,3
229,1,3,4
230,2,3,1
231,2,4,10
232,1,3,8
233,2,2,7
234,1,2,2
235,2,4,10
236,1,1,11
237,2,2,8
238,1,0,2
239,2,3,8
240,0,2,1
241,1,2,11
242,1,0,9
243,2,1,8
244,2,3,7
245,2,4,8
246,2,0,4
247,2,2,10
248,2,2,10
249,2,3,1
250,1,2,7
251,2,3,11
252,1,4,5
253,2,2,7
254,2,3,10
255,1,4,4
256,2,2,9
257,2,2,1
258,1,0,5
259,2,4,4
260,2,1,11
261,2,1,11
262,2,2,4
263,0,3,0
264,2,1,1
265,2,0,7
266,1,2,2
267,2,4,9
268,2,0,2
269,2,1,7
270,2,0,7
271,1,4,1
272,2,0,7
273,1,1,10
274,1,2,0
275,1,4,5
276,2,3,7
277,2,4,2
278,2,4,7
279,1,3,11
280,2,1,0
281,2,3,10
282,2,0,10
283,2,0,8
284,2,1,10
285,2,3,8
286,1,1,4
287,1,4,9
288,1,2,3
289,0,4,10
290,1,3,5
291,0,0,11
292,2,4,6
293,1,1,4
294,2,1,10
295,2,3,9
296,2,2,8
297,2,3,2
298,2,3,6
299,2,0,9
300,2,2,9
301,2,4,10
302,2,3,4
303,2,3,6
304,2,0,1
305,2,1,3
306,2,1,1
307,2,1,11
308,2,0,6
309,2,0,1
310,2,0,10
311,1,0,0
312,2,2,8
313,2,1,0
314,2,0,7
315,2,2,1
316,1,0,11
317,1,1,7
318,0,1,2
319,1,0,5
320,1,2,2
321,2,4,6
322,1,1,9
323,2,0,8
324,1,3,1
325,1,1,11
326,2,1,11
327,2,3,4
328,0,2,5
329,2,0,3
330,1,2,3
331,2,0,3
332,2,2,1
333,2,2,3
334,2,4,10
335,1,0,0
336,2,2,11
337,2,3,5
338,2,3,0
339,2,3,9
340,1,4,5
341,1,0,0
342,2,4,5
343,2,0,9
344,2,3,7
345,2,2,10
346,2,4,1
347,1,4,1
348,1,2,11
349,2,1,3
350,2,4,10
351,2,3,2
352,1,1,3
353,2,1,11
354,2,4,6
355,2,3,10
356,2,1,0
357,2,1,5
358,2,2,2
359,2,1,10
360,2,0,9
361,2,2,6
362,1,4,9
363,2,2,1
364,2,4,1
365,1,0,3
366,1,4,0
367,2,1,2
368,2,4,8
369,1,0,6
370,2,1,6
371,1,1,10
372,2,1,3
373,1,3,1
374,1,0,3
375,2,3,5
376,2,4,10
377,1,2,10
